go_id	description
GO:0006024	glycosaminoglycan biosynthetic process
GO:0008020	G-protein coupled photoreceptor activity
GO:0008026	ATP-dependent helicase activity
GO:0008028	monocarboxylic acid transmembrane transporter activity
GO:0051128	regulation of cellular component organization
GO:0031491	nucleosome binding
GO:0009001	serine O-acetyltransferase activity
GO:0009394	2'-deoxyribonucleotide metabolic process
GO:0042723	thiamine-containing compound metabolic process
GO:0009396	folic acid-containing compound biosynthetic process
GO:0042724	thiamine-containing compound biosynthetic process
GO:0042727	flavin-containing compound biosynthetic process
GO:0042726	flavin-containing compound metabolic process
GO:0000287	magnesium ion binding
GO:0000280	nuclear division
GO:0008653	lipopolysaccharide metabolic process
GO:0008287	protein serine/threonine phosphatase complex
GO:0008283	cell proliferation
GO:0008289	lipid binding
GO:0006974	response to DNA damage stimulus
GO:0023046	signaling
GO:0048037	cofactor binding
GO:0009130	pyrimidine nucleoside monophosphate biosynthetic process
GO:0044255	cellular lipid metabolic process
GO:0048038	quinone binding
GO:0006979	response to oxidative stress
GO:0004664	prephenate dehydratase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004190	aspartic-type endopeptidase activity
GO:0003896	DNA primase activity
GO:0003899	DNA-directed RNA polymerase activity
GO:0004198	calcium-dependent cysteine-type endopeptidase activity
GO:0009077	histidine family amino acid catabolic process
GO:0022406	membrane docking
GO:0003879	ATP phosphoribosyltransferase activity
GO:0045449	regulation of transcription, DNA-dependent
GO:0022403	cell cycle phase
GO:0003872	6-phosphofructokinase activity
GO:0043631	RNA polyadenylation
GO:0043632	modification-dependent macromolecule catabolic process
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0051301	cell division
GO:0001727	lipid kinase activity
GO:0019563	glycerol catabolic process
GO:0017171	serine hydrolase activity
GO:2000112	regulation of cellular macromolecule biosynthetic process
GO:2000113	negative regulation of cellular macromolecule biosynthetic process
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0019211	phosphatase activator activity
GO:0019210	kinase inhibitor activity
GO:0019213	deacetylase activity
GO:0019212	phosphatase inhibitor activity
GO:0019219	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process
GO:0019748	secondary metabolic process
GO:0070085	glycosylation
GO:0004109	coproporphyrinogen oxidase activity
GO:0018580	nitronate monooxygenase activity
GO:0051273	beta-glucan metabolic process
GO:0051276	chromosome organization
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0051274	beta-glucan biosynthetic process
GO:0016636	oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor
GO:0016634	oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor
GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor
GO:0016984	ribulose-bisphosphate carboxylase activity
GO:0016986	transcription initiation factor activity
GO:0016987	sigma factor activity
GO:0070403	NAD+ binding
GO:0019363	pyridine nucleotide biosynthetic process
GO:0019362	pyridine nucleotide metabolic process
GO:0047750	cholestenol delta-isomerase activity
GO:0043449	cellular alkene metabolic process
GO:0007165	signal transduction
GO:0007166	cell surface receptor linked signaling pathway
GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
GO:0033043	regulation of organelle organization
GO:0016742	hydroxymethyl-, formyl- and related transferase activity
GO:0016743	carboxyl- or carbamoyltransferase activity
GO:0016740	transferase activity
GO:0016741	transferase activity, transferring one-carbon groups
GO:0016746	transferase activity, transferring acyl groups
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0001906	cell killing
GO:0046406	magnesium protoporphyrin IX methyltransferase activity
GO:0016160	amylase activity
GO:0016161	beta-amylase activity
GO:0051668	localization within membrane
GO:0016567	protein ubiquitination
GO:0016564	transcription repressor activity
GO:0016563	transcription activator activity
GO:0016298	lipase activity
GO:0016568	chromatin modification
GO:0016569	covalent chromatin modification
GO:0006298	mismatch repair
GO:0034705	potassium channel complex
GO:0034702	ion channel complex
GO:0034703	cation channel complex
GO:0030288	outer membrane-bounded periplasmic space
GO:0046080	dUTP metabolic process
GO:0006563	L-serine metabolic process
GO:0006562	proline catabolic process
GO:0006560	proline metabolic process
GO:0006568	tryptophan metabolic process
GO:0006364	rRNA processing
GO:0006367	transcription initiation from RNA polymerase II promoter
GO:0006366	transcription from RNA polymerase II promoter
GO:0007186	G-protein coupled receptor protein signaling pathway
GO:0034613	cellular protein localization
GO:0031127	alpha(1,2)-fucosyltransferase activity
GO:0035383	thioester metabolic process
GO:0048551	metalloenzyme inhibitor activity
GO:0020037	heme binding
GO:0050790	regulation of catalytic activity
GO:0050794	regulation of cellular process
GO:0042545	cell wall modification
GO:0022890	inorganic cation transmembrane transporter activity
GO:0015986	ATP synthesis coupled proton transport
GO:0009112	nucleobase metabolic process
GO:0046394	carboxylic acid biosynthetic process
GO:0046395	carboxylic acid catabolic process
GO:0042549	photosystem II stabilization
GO:0015988	energy coupled proton transport, against electrochemical gradient
GO:0033865	nucleoside bisphosphate metabolic process
GO:0009059	macromolecule biosynthetic process
GO:0051170	nuclear import
GO:0006633	fatty acid biosynthetic process
GO:0006631	fatty acid metabolic process
GO:0006637	acyl-CoA metabolic process
GO:0006636	unsaturated fatty acid biosynthetic process
GO:0006635	fatty acid beta-oxidation
GO:0051246	regulation of protein metabolic process
GO:0042401	cellular biogenic amine biosynthetic process
GO:0070882	cellular cell wall organization or biogenesis
GO:0009250	glucan biosynthetic process
GO:0009252	peptidoglycan biosynthetic process
GO:0006457	protein folding
GO:0004857	enzyme inhibitor activity
GO:0009259	ribonucleotide metabolic process
GO:0004853	uroporphyrinogen decarboxylase activity
GO:0004852	uroporphyrinogen-III synthase activity
GO:0004529	exodeoxyribonuclease activity
GO:0004525	ribonuclease III activity
GO:0000774	adenyl-nucleotide exchange factor activity
GO:0004527	exonuclease activity
GO:0004526	ribonuclease P activity
GO:0004521	endoribonuclease activity
GO:0004520	endodeoxyribonuclease activity
GO:0004523	ribonuclease H activity
GO:0016875	ligase activity, forming carbon-oxygen bonds
GO:0001533	cornified envelope
GO:0006749	glutathione metabolic process
GO:0031399	regulation of protein modification process
GO:0006030	chitin metabolic process
GO:0006744	ubiquinone biosynthetic process
GO:0006743	ubiquinone metabolic process
GO:0006740	NADPH regeneration
GO:0008037	cell recognition
GO:0009039	urease activity
GO:0008033	tRNA processing
GO:0005215	transporter activity
GO:0005216	ion channel activity
GO:0031625	ubiquitin protein ligase binding
GO:0042719	mitochondrial intermembrane space protein transporter complex
GO:0004298	threonine-type endopeptidase activity
GO:0004640	phosphoribosylanthranilate isomerase activity
GO:0004455	ketol-acid reductoisomerase activity
GO:0005102	receptor binding
GO:0005488	binding
GO:0043933	macromolecular complex subunit organization
GO:0008725	DNA-3-methyladenine glycosylase I activity
GO:0048046	apoplast
GO:0016125	sterol metabolic process
GO:0009108	coenzyme biosynthetic process
GO:0009109	coenzyme catabolic process
GO:0010109	regulation of photosynthesis
GO:0009102	biotin biosynthetic process
GO:0009103	lipopolysaccharide biosynthetic process
GO:0004181	metallocarboxypeptidase activity
GO:0004180	carboxypeptidase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0030071	regulation of mitotic metaphase/anaphase transition
GO:0003887	DNA-directed DNA polymerase activity
GO:0004674	protein serine/threonine kinase activity
GO:0003883	CTP synthase activity
GO:0004673	protein histidine kinase activity
GO:0004672	protein kinase activity
GO:0055080	cation homeostasis
GO:0022414	reproductive process
GO:0022411	cellular component disassembly
GO:0008618	7-methylguanosine metabolic process
GO:0008617	guanosine metabolic process
GO:0008616	queuosine biosynthetic process
GO:0043624	cellular protein complex disassembly
GO:0043623	cellular protein complex assembly
GO:0008612	peptidyl-lysine modification to hypusine
GO:0008610	lipid biosynthetic process
GO:0045277	respiratory chain complex IV
GO:2000104	negative regulation of DNA-dependent DNA replication
GO:0008299	isoprenoid biosynthetic process
GO:0004076	biotin synthase activity
GO:0008290	F-actin capping protein complex
GO:0008295	spermidine biosynthetic process
GO:0019220	regulation of phosphate metabolic process
GO:0019222	regulation of metabolic process
GO:0015399	primary active transmembrane transporter activity
GO:0015087	cobalt ion transmembrane transporter activity
GO:0051202	phytochromobilin metabolic process
GO:0015081	sodium ion transmembrane transporter activity
GO:0016999	antibiotic metabolic process
GO:0016998	cell wall macromolecule catabolic process
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
GO:0008508	bile acid:sodium symporter activity
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0051287	NAD binding
GO:0019359	nicotinamide nucleotide biosynthetic process
GO:0046873	metal ion transmembrane transporter activity
GO:0046872	metal ion binding
GO:0015711	organic anion transport
GO:0072655	establishment of protein localization in mitochondrion
GO:0043436	oxoacid metabolic process
GO:0016197	endosome transport
GO:0016192	vesicle-mediated transport
GO:0008276	protein methyltransferase activity
GO:0016755	transferase activity, transferring amino-acyl groups
GO:0016757	transferase activity, transferring glycosyl groups
GO:0016756	glutathione gamma-glutamylcysteinyltransferase activity
GO:0000990	core RNA polymerase binding transcription factor activity
GO:0016758	transferase activity, transferring hexosyl groups
GO:0008531	riboflavin kinase activity
GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity
GO:0000996	core DNA-dependent RNA polymerase binding promoter specificity activity
GO:0003910	DNA ligase (ATP) activity
GO:0033897	ribonuclease T2 activity
GO:0033674	positive regulation of kinase activity
GO:0042398	cellular modified amino acid biosynthetic process
GO:0008374	O-acyltransferase activity
GO:0003674	molecular_function
GO:0003676	nucleic acid binding
GO:0003677	DNA binding
GO:0003678	DNA helicase activity
GO:0000049	tRNA binding
GO:0005856	cytoskeleton
GO:0043543	protein acylation
GO:0016289	CoA hydrolase activity
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0005853	eukaryotic translation elongation factor 1 complex
GO:0005850	eukaryotic translation initiation factor 2 complex
GO:0043545	molybdopterin cofactor metabolic process
GO:0043549	regulation of kinase activity
GO:0046527	glucosyltransferase activity
GO:0016570	histone modification
GO:0045727	positive regulation of translation
GO:0071212	subsynaptic reticulum
GO:0046700	heterocycle catabolic process
GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity
GO:0012501	programmed cell death
GO:0019509	L-methionine salvage from methylthioadenosine
GO:0000270	peptidoglycan metabolic process
GO:0043094	cellular metabolic compound salvage
GO:0006355	regulation of transcription, DNA-dependent
GO:0006357	regulation of transcription from RNA polymerase II promoter
GO:0006350	transcription, DNA-dependent
GO:0006351	transcription, DNA-dependent
GO:0006352	transcription initiation, DNA-dependent
GO:0006353	transcription termination, DNA-dependent
GO:0046417	chorismate metabolic process
GO:0046416	D-amino acid metabolic process
GO:0009617	response to bacterium
GO:0010921	regulation of phosphatase activity
GO:0031012	extracellular matrix
GO:0042578	phosphoric ester hydrolase activity
GO:0009269	response to desiccation
GO:0060590	ATPase regulator activity
GO:0005737	cytoplasm
GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process
GO:0005732	small nucleolar ribonucleoprotein complex
GO:0005730	nucleolus
GO:0043161	proteasomal ubiquitin-dependent protein catabolic process
GO:0005739	mitochondrion
GO:0043167	ion binding
GO:0030328	prenylcysteine catabolic process
GO:0030329	prenylcysteine metabolic process
GO:0017150	tRNA dihydrouridine synthase activity
GO:0003690	double-stranded DNA binding
GO:0003697	single-stranded DNA binding
GO:0006644	phospholipid metabolic process
GO:0006643	membrane lipid metabolic process
GO:0009240	isopentenyl diphosphate biosynthetic process
GO:0009247	glycolipid biosynthetic process
GO:0009245	lipid A biosynthetic process
GO:0004860	protein kinase inhibitor activity
GO:0004861	cyclin-dependent protein kinase inhibitor activity
GO:0004864	protein phosphatase inhibitor activity
GO:0047661	amino-acid racemase activity
GO:0004866	endopeptidase inhibitor activity
GO:0004867	serine-type endopeptidase inhibitor activity
GO:0004869	cysteine-type endopeptidase inhibitor activity
GO:0030120	vesicle coat
GO:0030653	beta-lactam antibiotic metabolic process
GO:0030654	beta-lactam antibiotic biosynthetic process
GO:0030127	COPII vesicle coat
GO:0030125	clathrin vesicle coat
GO:0004512	inositol-3-phosphate synthase activity
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0004518	nuclease activity
GO:0004519	endonuclease activity
GO:0006006	glucose metabolic process
GO:0006007	glucose catabolic process
GO:0006000	fructose metabolic process
GO:0048544	recognition of pollen
GO:0048610	cellular process involved in reproduction
GO:0009029	tetraacyldisaccharide 4'-kinase activity
GO:0045017	glycerolipid biosynthetic process
GO:0004468	lysine N-acetyltransferase activity
GO:0008759	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
GO:0006914	autophagy
GO:0006915	apoptosis
GO:0006913	nucleocytoplasmic transport
GO:0018298	protein-chromophore linkage
GO:0023060	signal transmission
GO:0009113	purine base biosynthetic process
GO:0006022	aminoglycan metabolic process
GO:0009110	vitamin biosynthetic process
GO:0009117	nucleotide metabolic process
GO:0009116	nucleoside metabolic process
GO:0008191	metalloendopeptidase inhibitor activity
GO:0009119	ribonucleoside metabolic process
GO:0008194	UDP-glycosyltransferase activity
GO:0000775	chromosome, centromeric region
GO:0004649	poly(ADP-ribose) glycohydrolase activity
GO:0000178	exosome (RNase complex)
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0018346	protein prenylation
GO:0000172	ribonuclease MRP complex
GO:0006754	ATP biosynthetic process
GO:0000176	nuclear exosome (RNase complex)
GO:0004645	phosphorylase activity
GO:0000175	3'-5'-exoribonuclease activity
GO:0004888	transmembrane signaling receptor activity
GO:0080090	regulation of primary metabolic process
GO:0006820	anion transport
GO:0006821	chloride transport
GO:0008378	galactosyltransferase activity
GO:0006824	cobalt ion transport
GO:0006825	copper ion transport
GO:0017003	protein-heme linkage
GO:0003855	3-dehydroquinate dehydratase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0008373	sialyltransferase activity
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
GO:0010605	negative regulation of macromolecule metabolic process
GO:0010604	positive regulation of macromolecule metabolic process
GO:0033180	proton-transporting V-type ATPase, V1 domain
GO:0010608	posttranscriptional regulation of gene expression
GO:0070647	protein modification by small protein conjugation or removal
GO:0015238	drug transmembrane transporter activity
GO:0004086	carbamoyl-phosphate synthase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0004089	carbonate dehydratase activity
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
GO:0019725	cellular homeostasis
GO:0019720	Mo-molybdopterin cofactor metabolic process
GO:0016531	copper chaperone activity
GO:0000502	proteasome complex
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0051213	dioxygenase activity
GO:0007205	activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway
GO:0017006	protein-tetrapyrrole linkage
GO:0019344	cysteine biosynthetic process
GO:0019439	aromatic compound catabolic process
GO:0019438	aromatic compound biosynthetic process
GO:0009057	macromolecule catabolic process
GO:0008408	3'-5' exonuclease activity
GO:0008409	5'-3' exonuclease activity
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0019239	deaminase activity
GO:0019238	cyclohydrolase activity
GO:0016760	cellulose synthase (UDP-forming) activity
GO:0016762	xyloglucan:xyloglucosyl transferase activity
GO:0016763	transferase activity, transferring pentosyl groups
GO:0050113	inositol oxygenase activity
GO:0015142	tricarboxylic acid transmembrane transporter activity
GO:0015144	carbohydrate transmembrane transporter activity
GO:0016149	translation release factor activity, codon specific
GO:0009055	electron carrier activity
GO:0005840	ribosome
GO:0045735	nutrient reservoir activity
GO:0033267	axon part
GO:0034728	nucleosome organization
GO:0035639	purine ribonucleoside triphosphate binding
GO:0050801	ion homeostasis
GO:0012511	monolayer-surrounded lipid storage body
GO:0043087	regulation of GTPase activity
GO:0043086	negative regulation of catalytic activity
GO:0043085	positive regulation of catalytic activity
GO:0006342	chromatin silencing
GO:0046467	membrane lipid biosynthetic process
GO:0017038	protein import
GO:0030001	metal ion transport
GO:0030003	cellular cation homeostasis
GO:0060589	nucleoside-triphosphatase regulator activity
GO:0005506	iron ion binding
GO:0005507	copper ion binding
GO:0043176	amine binding
GO:0006559	L-phenylalanine catabolic process
GO:0042364	water-soluble vitamin biosynthetic process
GO:0043170	macromolecule metabolic process
GO:0003689	DNA clamp loader activity
GO:0017148	negative regulation of translation
GO:0045860	positive regulation of protein kinase activity
GO:0003684	damaged DNA binding
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0006650	glycerophospholipid metabolic process
GO:0009236	cobalamin biosynthetic process
GO:0009235	cobalamin metabolic process
GO:0006659	phosphatidylserine biosynthetic process
GO:0006658	phosphatidylserine metabolic process
GO:0009231	riboflavin biosynthetic process
GO:0046118	7-methylguanosine biosynthetic process
GO:0004872	receptor activity
GO:0004871	signal transducer activity
GO:0046112	nucleobase biosynthetic process
GO:0004107	chorismate synthase activity
GO:0030132	clathrin coat of coated pit
GO:0046116	queuosine metabolic process
GO:0046114	guanosine biosynthetic process
GO:0015893	drug transport
GO:0050662	coenzyme binding
GO:0050661	NADP binding
GO:0050660	flavin adenine dinucleotide binding
GO:0050664	oxidoreductase activity, acting on NADH or NADPH, oxygen as acceptor
GO:0006013	mannose metabolic process
GO:0006012	galactose metabolic process
GO:0005694	chromosome
GO:0043687	post-translational protein modification
GO:0048193	Golgi vesicle transport
GO:0007346	regulation of mitotic cell cycle
GO:0009341	beta-galactosidase complex
GO:0009349	riboflavin synthase complex
GO:0042773	ATP synthesis coupled electron transport
GO:0045005	maintenance of fidelity involved in DNA-dependent DNA replication
GO:0004478	methionine adenosyltransferase activity
GO:0004476	mannose-6-phosphate isomerase activity
GO:0048285	organelle fission
GO:0005471	ATP:ADP antiporter activity
GO:0004252	serine-type endopeptidase activity
GO:0006909	phagocytosis
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0009211	pyrimidine deoxyribonucleoside triphosphate metabolic process
GO:0006904	vesicle docking involved in exocytosis
GO:0008964	phosphoenolpyruvate carboxylase activity
GO:0009167	purine ribonucleoside monophosphate metabolic process
GO:0009165	nucleotide biosynthetic process
GO:0009690	cytokinin metabolic process
GO:0044281	small molecule metabolic process
GO:0044282	small molecule catabolic process
GO:0044283	small molecule biosynthetic process
GO:0009168	purine ribonucleoside monophosphate biosynthetic process
GO:0009132	nucleoside diphosphate metabolic process
GO:0004659	prenyltransferase activity
GO:0004657	proline dehydrogenase activity
GO:0000160	two-component signal transduction system (phosphorelay)
GO:0004655	porphobilinogen synthase activity
GO:0045132	meiotic chromosome segregation
GO:0004652	polynucleotide adenylyltransferase activity
GO:0000166	nucleotide binding
GO:0009218	pyrimidine ribonucleotide metabolic process
GO:0006470	protein dephosphorylation
GO:0000989	transcription factor binding transcription factor activity
GO:0000988	protein binding transcription factor activity
GO:0003843	1,3-beta-D-glucan synthase activity
GO:0003840	gamma-glutamyltransferase activity
GO:0031974	membrane-enclosed lumen
GO:0006839	mitochondrial transport
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0009765	photosynthesis, light harvesting
GO:0016853	isomerase activity
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0019538	protein metabolic process
GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0016817	hydrolase activity, acting on acid anhydrides
GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0016769	transferase activity, transferring nitrogenous groups
GO:0015078	hydrogen ion transmembrane transporter activity
GO:0004096	catalase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003997	acyl-CoA oxidase activity
GO:0003993	acid phosphatase activity
GO:0044036	cell wall macromolecule metabolic process
GO:0044038	cell wall macromolecule biosynthetic process
GO:0008565	protein transporter activity
GO:0016973	poly(A)+ mRNA export from nucleus
GO:0016972	thiol oxidase activity
GO:0019405	alditol catabolic process
GO:0019400	alditol metabolic process
GO:0046854	phosphatidylinositol phosphorylation
GO:0032259	methylation
GO:0018130	heterocycle biosynthetic process
GO:0019887	protein kinase regulator activity
GO:0019888	protein phosphatase regulator activity
GO:0043412	macromolecule modification
GO:0043413	macromolecule glycosylation
GO:0043414	macromolecule methylation
GO:0019395	fatty acid oxidation
GO:0016779	nucleotidyltransferase activity
GO:0016778	diphosphotransferase activity
GO:0051539	4 iron, 4 sulfur cluster binding
GO:0016773	phosphotransferase activity, alcohol group as acceptor
GO:0016772	transferase activity, transferring phosphorus-containing groups
GO:0051536	iron-sulfur cluster binding
GO:0051537	2 iron, 2 sulfur cluster binding
GO:0008415	transferase activity, transferring acyl groups
GO:0016776	phosphotransferase activity, phosphate group as acceptor
GO:0008417	fucosyltransferase activity
GO:0016774	phosphotransferase activity, carboxyl group as acceptor
GO:0070566	adenylyltransferase activity
GO:0009966	regulation of signal transduction
GO:0070568	guanylyltransferase activity
GO:0070569	uridylyltransferase activity
GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly
GO:0016151	nickel ion binding
GO:0042147	retrograde transport, endosome to Golgi
GO:0042176	regulation of protein catabolic process
GO:0005874	microtubule
GO:0005875	microtubule associated complex
GO:0043565	sequence-specific DNA binding
GO:0043566	structure-specific DNA binding
GO:0016559	peroxisome fission
GO:0005673	transcription factor TFIIE complex
GO:0030811	regulation of nucleotide catabolic process
GO:0006073	cellular glucan metabolic process
GO:0050877	neurological system process
GO:0006072	glycerol-3-phosphate metabolic process
GO:0046073	dTMP metabolic process
GO:0033293	monocarboxylic acid binding
GO:0030258	lipid modification
GO:0030259	lipid glycosylation
GO:0006338	chromatin remodeling
GO:0006334	nucleosome assembly
GO:0019861	flagellum
GO:0019866	organelle inner membrane
GO:0019867	outer membrane
GO:0022402	cell cycle process
GO:0071941	nitrogen cycle metabolic process
GO:0017040	ceramidase activity
GO:0030036	actin cytoskeleton organization
GO:0042592	homeostatic process
GO:0042597	periplasmic space
GO:0008601	protein phosphatase type 2A regulator activity
GO:0006481	C-terminal protein methylation
GO:0006486	protein glycosylation
GO:0006487	protein N-linked glycosylation
GO:0042357	thiamine diphosphate metabolic process
GO:0006241	CTP biosynthetic process
GO:0045814	negative regulation of gene expression, epigenetic
GO:0006468	protein phosphorylation
GO:0009229	thiamine diphosphate biosynthetic process
GO:0009228	thiamine biosynthetic process
GO:0006461	protein complex assembly
GO:0009221	pyrimidine deoxyribonucleotide biosynthetic process
GO:0009220	pyrimidine ribonucleotide biosynthetic process
GO:0006464	protein modification process
GO:0006465	signal peptide processing
GO:0000375	RNA splicing, via transesterification reactions
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0010382	cellular cell wall macromolecule metabolic process
GO:0015662	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
GO:0005049	nuclear export signal receptor activity
GO:0005048	signal sequence binding
GO:0009913	epidermal cell differentiation
GO:0005047	signal recognition particle binding
GO:0006164	purine nucleotide biosynthetic process
GO:0006066	alcohol metabolic process
GO:0006796	phosphate metabolic process
GO:0006790	sulfur compound metabolic process
GO:0006793	phosphorus metabolic process
GO:0005681	spliceosomal complex
GO:0005680	anaphase-promoting complex
GO:0005267	potassium channel activity
GO:0005261	cation channel activity
GO:0019566	arabinose metabolic process
GO:0045039	protein import into mitochondrial inner membrane
GO:0004799	thymidylate synthase activity
GO:0042765	GPI-anchor transamidase complex
GO:0004797	thymidine kinase activity
GO:0004794	L-threonine ammonia-lyase activity
GO:0004402	histone acetyltransferase activity
GO:0016310	phosphorylation
GO:0006661	phosphatidylinositol biosynthetic process
GO:0006664	glycolipid metabolic process
GO:0006665	sphingolipid metabolic process
GO:0005319	lipid transporter activity
GO:0051056	regulation of small GTPase mediated signal transduction
GO:0004222	metalloendopeptidase activity
GO:0051052	regulation of DNA metabolic process
GO:0004221	ubiquitin thiolesterase activity
GO:0005315	inorganic phosphate transmembrane transporter activity
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
GO:0008172	S-methyltransferase activity
GO:0008173	RNA methyltransferase activity
GO:0009177	pyrimidine deoxyribonucleoside monophosphate biosynthetic process
GO:0008171	O-methyltransferase activity
GO:0008176	tRNA (guanine-N7-)-methyltransferase activity
GO:0009173	pyrimidine ribonucleoside monophosphate metabolic process
GO:0008175	tRNA methyltransferase activity
GO:0000159	protein phosphatase type 2A complex
GO:0008889	glycerophosphodiester phosphodiesterase activity
GO:0000154	rRNA modification
